City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort mcmurray,56.7268,-111.381,23.77,40,100,3.09,CA,1684705377
1,olinda,-8.0089,-34.8553,25.85,83,75,2.57,BR,1684705378
2,college,64.8569,-147.8028,20.05,39,40,2.57,US,1684705188
3,ancud,-41.8697,-73.8203,7.16,90,100,1.5,CL,1684705379
4,bredasdorp,-34.5322,20.0403,11.1,65,100,1.75,ZA,1684705379
5,port-aux-francais,-49.35,70.2167,6.62,89,92,13.59,TF,1684705380
6,bang saphan,11.2126,99.5117,25.84,84,99,2.84,TH,1684705380
7,nikolayevsk-on-amure,53.1406,140.73,6.24,84,100,2.0,RU,1684705380
8,avarua,-21.2078,-159.775,26.03,78,40,4.63,CK,1684705381
9,gadzhiyevo,69.2551,33.3362,7.5,93,100,6.14,RU,1684705381
10,yellowknife,62.456,-114.3525,20.29,40,75,4.63,CA,1684705382
11,blackmans bay,-43.0167,147.3167,12.07,73,81,4.04,AU,1684705383
12,adamstown,-25.066,-130.1015,24.4,81,97,7.96,PN,1684705383
13,port alfred,-33.5906,26.891,14.11,72,9,5.29,ZA,1684705384
14,port elizabeth,-33.918,25.5701,13.39,90,40,5.66,ZA,1684705384
15,puerto leguizamo,-0.1934,-74.7819,29.32,71,81,0.71,CO,1684705385
16,talnakh,69.4865,88.3972,0.67,99,100,2.67,RU,1684705386
17,montagu,-40.7667,144.9667,12.14,81,100,5.53,AU,1684705387
18,along,28.1667,94.7667,17.49,95,83,0.64,IN,1684705387
19,port mathurin,-19.6833,63.4167,24.75,73,1,2.01,MU,1684705388
20,cidreira,-30.1811,-50.2056,19.74,85,100,4.49,BR,1684705388
21,nainpur,22.4333,80.1167,30.93,27,74,1.51,IN,1684705389
22,pacific grove,36.6177,-121.9166,21.88,81,75,4.12,US,1684705229
23,nuku'alofa,-21.1333,-175.2,26.19,73,75,4.12,TO,1684705390
24,ushuaia,-54.8,-68.3,2.81,65,40,2.57,AR,1684705391
25,waitangi,-43.9535,-176.5597,12.68,79,74,5.81,NZ,1684705392
26,papatowai,-46.5619,169.4708,8.29,65,94,2.22,NZ,1684705393
27,bengkulu,-3.8004,102.2655,24.59,87,76,1.73,ID,1684705393
28,januaria,-15.4833,-44.3667,21.38,35,7,0.31,BR,1684705394
29,coquimbo,-29.9533,-71.3436,15.85,77,0,4.63,CL,1684704797
30,san antonio de pale,-1.4014,5.6325,26.52,70,90,4.71,GQ,1684705395
31,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,100,100,3.0,RU,1684705396
32,iqaluit,63.7506,-68.5145,-6.15,62,75,6.71,CA,1684705396
33,enewetak,11.3474,162.3373,27.77,78,84,4.88,MH,1684705397
34,stanley,54.868,-1.6985,9.28,82,0,0.0,GB,1684705397
35,el granada,37.5027,-122.4694,28.85,74,40,6.69,US,1684705135
36,jamestown,42.097,-79.2353,20.85,45,0,5.66,US,1684705148
